Company,Year,Quarter,Sentence,Sentiment,Score,Topic 1,Topic 2,Keyword
Brinker International,2017,Q1,"Joe Taylor, senior VP & CFO, welcomes newest member of the Brinker finance team, Mika Ware .",positive,0.9877606630325317,Null,Null,VP CFO welcomes member Brinker finance team Joe Taylor Mika Ware
Brinker International,2017,Q1,"Mika is a very long time Chili's head, who has served the last 7 years as VP Finance .",positive,0.9939299821853638,Null,Null,Chili head years VP Finance long time
Brinker International,2017,Q1,results for the quarter were released earlier this morning and are available on brinker.com .,positive,0.9954416751861572,Null,Null,results morning brinker.com quarter were
Brinker International,2017,Q1,the company delivered earnings per share of $0.42 for the quarter .,positive,0.9887824654579163,Null,Null,earnings share quarter company delivered
Brinker International,2017,Q1,"we adjusted for the impact of hurricanes, which we believe is about $0.03 .",positive,0.9944158792495728,Null,Null,impact hurricanes
Brinker International,2017,Q1,first quarter was all about finalizing our turnaround strategy for Chili's .,positive,0.9921099543571472,Null,Null,turnaround strategy Chili first quarter quarter was
Brinker International,2017,Q1,"""we're focused on marketing and operational execution that will bring guests in""",positive,0.9767735004425049,Null,Null,marketing bring guests operational execution
Brinker International,2017,Q1,chili's is about 6 weeks into the new menu and preference is up to nearly 40% across these signature entrées .,positive,0.794929027557373,Null,Null,chili weeks preference % signature entrées new menu
Brinker International,2017,Q1,we're building on our momentum by leaning more aggressively into the areas that present the biggest opportunities for traffic growth .,neutral,0.9510517120361328,Null,Null,building momentum areas present opportunities traffic growth
Brinker International,2017,Q1,202 restaurants were impacted by hurricanes in south texas and florida .,negative,0.9775440096855164,Null,Null,hurricanes south texas florida restaurants were
Brinker International,2017,Q1,the storms negatively impacted Brinker's comp sales for the quarter .,negative,0.9911501407623291,Null,Null,storms Brinker comp sales quarter
Brinker International,2017,Q1,"""we're seeing a shift in traffic,"" says Wyman .",negative,0.6891530156135559,Null,Null,Wyman shift in traffic
Brinker International,2017,Q1,restaurant operating margin decreased from a year ago by 70 basis points .,negative,0.9929513335227966,Null,Null,restaurant operating year basis points margin decreased
