Keyword,Adjusted_Score
restaurant-level operators managed wage cost level,4
France tourism social unrest,4
FICA indiscernible ] credit activity,4
advantages control store-level service,4
constraints eye continued lead frozen single-serve,5
EPS synergy over-delivery,3
millennials moisture simple way,3
CFO baton Rachel Ruggeri,4
core John good move,3
bulk lean deployment,3
relevant staples portfolio despite supply,3
EBITDA include adjusted,3
first-time users guest checkout feature feature for first-time,7
off-cycle resolution season,3
incredible progress progress on managerial turnover,3
mobile app non-reward customers,4
presence evidence growth opportunities at scale,3
u.s top gluten-free loaf brand,3
a. Director Yes,3
tiers traditional retailers,3
export IFG business called,3
dramatic headwinds aggressive pricing strategies,3
new package separate things old package shows,5
bars represent households with income,3
endulge iced coffee shakes,4
poultry slow start,3
a. Director Tastykake Tastykake had,4
[ Operator Instructions,3
took incremental low-end customer tail-off,4
honor interim role pivotal time time for TreeHouse,4
Gardein alternative space,3
Naturex natural colors,3
cocoa multiple snack categories share gains in multiple,4
CHF reached sales like-for-like basis,3
ads tested new buyers,3
atkins grow household penetration,3
beef exports remained,3
global demand higher-grading beef products,4
total check Mobile Order,3
customers campaign Restaurants Rising,3
goldman skeptics sea,3
Divestitures FX impacted net,3
normal seasonality seasonality for Pork,4
subsegments nutritional snacking category,3
inflationary headwinds china impacted,3
machine fuel deep brew,3
inflationary pressures strain consumer confidence,3
consensus on-algorithm type,3
fundamentals recruitment new commercials,3
generate plenty ample ample free cash flow,4
core stay focused,3
leverage powerful balance sheet,3
P vary quarter-to-quarter,3
hog ongoing recovery,3
plants different extents noel white CEO,5
strategic move front row seat seat on next-generation,5
access fine fragrance beauty,3
barclays mid-single-digit traffic,3
program functional excellence,3
cnn waterfall foulston provided chart on page,5
in-dining room operations,3
shelf leading indicator,3
suburban drive-through central business districts,4
barclays deep brew machines,3
chive bakes new menu items,3
conservative view view on core,4
millennials contemporary frozen,3
retention sign-on bonuses bucket of snapback,5
maggiano delivery individual level,3
chili Oldtimer with cheese new ad campaign,5
QSRs limited time offers,3
good [ Audio Gap,3
maggiano strong holiday delivery,3
barrier prior compensation program,3
federal minimum wage minimum wage increase,5
Europe South Asia,3
LIBOR previous spread loan on march,3
cold-brew coffee single cup coffee,5
herds key global beef,3
Fragrance compounding room room in china,4
unshakable trend trend toward convenience,4
digital marketing infrastructure with regard,3
personalization real-time triggers new offer constructs,5
overall buy rate on-the-go usage occasions,4
maggiano vehicles full in-house delivery in-house delivery system,7
dual responsibility manage price stability,3
online off-premise orders % of off-premise,4
pro forma forma net,3
engagement recommendations intensity saw significant lifts,4
farha Stephens Inc.,3
q Fresh Meats,3
manager leverage industry- leading levels,4
customers specific ingredients ask for pricing,3
EPS flowers raised the bottom,4
Americas CPG high-single digits,3
outstanding partners strong customer connection,3
population direct negative impact supply chain productivity,3
chili issues affected product,3
Chili guests inflationary environment,3
efficient manufacturing low material losses,3
qualified frontline employees,3
cnn Steve Oakland,3
first quarter remains signal for first quarter,3
TDP proactive discontinuations,3
B Irish Oatmeal small step,4
whipped toppings alternatives grew frozen plant-based meat,6
COVID crisis had resilient part,3
upscale premium contract pack business,3
young consumers u.s. population,3
hurricane ida domestic rates,3
freeman director retire in march,3
atkins frequent snacking occasions,3
chili folks ubiquitous brand,3
bimbo outstanding quarter identical distribution model,4
wings potential physical presence,4
FY record-low full-time retail full-time retail partner turnover,7
ability win national contract business,3
birds Duncan Hines suffered sales,4
atkins sustainable program,3
community company established local communities,3
geographies slow recovery,3
