Company,Year,Quarter,Summary
Brinker International,2017,Q1,"our simplified menu is the fundamental move in the process of growing traffic at Chili's . bank of america's new menu will be more weighted to 2Q than it was last year . the industry performed a little better here in October . fajita category is a strong category for us from a margin and check standpoint . the casual dining industry is operating at a different model than today at $10 or $9 labor . we will remain elevated in our pricing position through the end of this calendar year . burger spot had a pretty good mix, but less than half of the rotation . e-commerce takes a greater share of retail sales, and footfall in every year goes further down in malls ."
Brinker International,2017,Q2,"maggiano's had a solid quarter, primarily driven by strong holiday delivery and take-out business . in December, we completed the implementation of local craft beers and our signature presidente margarita . the menu expands dining options to encourage incremental visits and includes a brunch offering . the new online platform allows us to have all of the company restaurants on that platform . this year as well as prior years, these are quarters where we take a little bit more of a break from the heavy media weight . if we're going to do more family-style options, we'll be able to offer more functionality . maggiano's has a full in-house delivery system with vehicles . the company is evaluating the business model from a third-party perspective . chili's is a concept that resonates really well in different cultures and different countries . the chili peppers chili recipe is available in a variety of flavors and flavors . chili is also available in other chili sauces ."
Brinker International,2017,Q3,"maggiano's delivered a solid third quarter driven by our biggest menu change in 25 years . we moved to a smash burger, a new cooking procedure that produces a juicier product . a 17-year veteran with Brinker with deep expertise in finance and government relations stepped in to take the reins . restaurant-level margin management was a critical driver of quarterly performance . casual dining is under more pressure now than ever to win consumers' hearts and minds . fast food is an all-time high deal rate and casual dining is right up there . a new curbside pickup system is working in test at barclays . restaurant-level operators managed hourly wage cost level actually slightly down year- over-year . the company's goal is to stabilize traffic in a way that doesn't involve serious margin sacrifices"""
Brinker International,2017,Q4,"the response from team members is very supportive . despite the top line challenges, we still made critical investments in our chili's business . the whole operations team is focused on getting food out as quickly as possible . Wyman T. Roberts is not pulling labor out of the model per se . at the end of the day, you really have to get the menu and the food offering right . some of that will be offset with some stronger- value propositions . the 3 biggest players in casual dining are all working on product quality reinvestment ."
Brinker International,2018,Q1,"chili's performance continues to climb, up 2% in comp sales and 4% in traffic for the quarter . to-go business at both brands performed significantly well . Wyman T. Roberts has been able to lean into some of its more traditional value propositions . it also takes pressure off your marketing that you don't have a recreate urgency every 6 or 8 weeks . the average server at chili's averages over $20 an hour . the low-end more budget-conscious consumer is always compelled to find value . media inflation world around television has us scrutinizing that aspect of the marketing budget . we're aggressively looking at how does digital and social play out relative to other . pressure on insurance was 20 basis point drag in this quarter . Mika Ware VP of Finance & Investor Relations Goodbye . we remain committed to our traffic driving strategy and believe there's plenty of upside ."
Brinker International,2018,Q2,"despite ongoing headwinds in the middle east, we're not satisfied . cdo will focus on delivering a great to-go experience to our guests . guests have said they're recognizing the improvements to the menu, especially on key categories . if the fundamental components are unchanged, the increase to the earnings guidance is purely tax . nearly 40, 50 restaurants are now finished in the new england area . there's no major shift in user type or component of the guest mix . ""we're continuing to invest in our infrastructure with regard to digital marketing, but nothing structural that's holding us back now"""
Brinker International,2018,Q3,"maggiano's is excited about taking its delivery program to a more individual level . the 3 for $10 promotion is driving traffic at lunch and dinner . restaurant labor increased 50 basis points as wage-rate pressures continued in the 3% to 4% range . chili's has owned real estate assets of approximately 190 restaurants . we have expectations for a decent mid-single-digit lift from that kind of program . maggiano's is excited about taking its delivery program to a more individual level . moving statutory rates to a lower level does materially decrease the friction that would be involved in transaction . promotional offers are doing well, and the lunch category is starting to move . do you think you need a one-year or onetime pricing reset . the 3 for $10 has been a big traffic benefit this quarter . we've seen improvement across all the dayparts, early week as well as late week lunch and dinner . you may disconnect your phone lines at this time, and have a wonderful day . you may be able to disconnect your lines later on ."
Brinker International,2018,Q4,the company reported both top line and EPS growth in its fourth quarter . traffic continued its steady improvement and is now in positive year-over-year territory . reestablishment of my chili's rewards is a marketing strategy that pays out over a longer period of time . company used proceeds from sale leaseback to repay debt . the team's done a great job building that app and making the Chili's take-out experience seamless . the board approved a dividend payout as part of this quarterly announcement .
Brinker International,2019,Q1,"comp sales were positive 2.3% with adjusted net earnings per share of $0.41 . first quarter results came from our strategy to offer convenience the way guests want it . maggiano's was a little tougher quarter, with some headwinds . we're layering in the Midwest region as part of that year-over-year delta . over time, the franchise community tends to move into the same space . we're now through the lap of really the aggressive introduction of 3 for $10 . the restaurant is seeing a good build of the already significant loyalty database . with me on today's call are Wyman Roberts, chief executive officer ."
Brinker International,2019,Q2,"Wyman T. Roberts CEO, President & Non-Independent Director Sure, sure . Wyman and Joe will make prepared comments about our strategic initiatives and operating performance . second quarter marked the 1-year anniversary of the launch of our traffic-focus strategy . chili's continued to grow both dine-in and off-premise sales . the company expects to have tighter cost controls or some programs to address wage pressure and labor cost inflation . 3 for $10 has proven to be a very compelling offer for net-net . the gap to Knapp for the chili's same-store sales was in that 1% range . a year-over-year change in health claims experience exacerbated the difference this year . we didn't see any meaningful good guys as it relates to our experience . the lower tax rate seems to have benefited fiscal '19 earnings by $0.15 . the most important thing, though, is just operational consistency . to-go packaging is the biggest pressure on the bar business . we're absolutely working with the big guys in messaging and delivery . we anticipate consolidation pretty dramatically in this space over time . Wyman T. Roberts CEO, president & non-independent director thanks ."
